"cell","UMAP1","UMAP2","subcluster","geno","pt"
"wt_605983",-7.68379263085654,-2.53653826389189,"differentiating","WT",52.973057408663
"wt_1361288",-7.12304023904135,-2.34041037235137,"differentiating","WT",56.4969988508799
"wt_3697225",-7.72761873406699,-2.14707924995299,"differentiating","WT",55.3772057241939
"wt_2085193",-7.06593755883506,-0.974885841940601,"differentiating","WT",57.2209281084741
"wt_150165",-7.27974561852744,-2.6100086179721,"differentiating","WT",52.9600054110189
"wt_8143180",-6.86218837899497,-2.36880471382018,"differentiating","WT",52.7827213560137
"wt_12258075",-6.08530143899253,-2.10649301681395,"precursor-like","WT",43.4518239058065
"wt_6650166",-5.87295011681845,-2.1398519483554,"precursor-like","WT",51.5024336754902
"wt_4594983",-7.1160793702059,-2.38825597438689,"differentiating","WT",56.8246987457339
"wt_12562199",-6.39836410683921,-2.37687017593261,"differentiating","WT",46.783801009182
"wt_1202700",-5.56193164986899,-2.2184674945819,"precursor-like","WT",37.7321675257433
"wt_8868504",-5.6463609139376,-2.18180610809203,"precursor-like","WT",37.7613686682065
"wt_1197711",-5.51334146661093,-2.03563799533721,"precursor-like","WT",37.3026430731999
"wt_13741886",-7.09866146249106,-2.63452233943816,"differentiating","WT",49.6583944437103
"wt_6076880",-4.77985576791098,-2.34863056812163,"precursor-like","WT",44.7428121340061
"wt_5784989",-7.40578607720664,-1.79160728130217,"differentiating","WT",50.8668867408057
"wt_2687649",-6.73526386422446,-2.4166914430606,"differentiating","WT",54.9677973031889
"wt_5478587",-6.97240356606772,-1.56556274566527,"differentiating","WT",48.4201879929553
"wt_2395058",-6.68375925225547,-1.17944081697341,"differentiating","WT",52.5440401151733
"wt_12244272",-6.93189672631552,-2.04743542346831,"differentiating","WT",49.3745850449564
"wt_4137244",-7.34058431786826,-2.51643099460479,"differentiating","WT",55.663206051103
"wt_13429258",-5.8767371575289,-1.75090481910582,"precursor-like","WT",38.2957810238809
"wt_12261949",-7.56915048760703,-2.65999307308074,"differentiating","WT",56.5886703147432
"wt_8277583",-4.88215355080893,-2.14956369075652,"precursor-like","WT",39.1053405643995
"wt_14030653",-5.03971532983115,-2.22467960986968,"precursor-like","WT",39.7366533060232
"wt_10498578",-6.49892000359824,-2.41179837856169,"differentiating","WT",56.8665171541972
"wt_1636636",-6.50957063836386,-2.14109494361754,"differentiating","WT",50.6392644973815
