"class","n_cells","gene","pct_expr","mean_expr"
"LGE-derived GABAergic",1056,"Trp73",0.4,0.0054
"LGE-derived GABAergic",1056,"Ndnf",2.4,0.038
"LGE-derived GABAergic",1056,"Lhx6",2.2,0.0412
"LGE-derived GABAergic",1056,"Maf",2.7,0.0484
"LGE-derived GABAergic",1056,"Nxph1",17.7,0.3991
"LGE-derived GABAergic",1056,"Prox1",9.5,0.1829
"LGE-derived GABAergic",1056,"Htr3a",1.2,0.0204
"LGE-derived GABAergic",1056,"Nr3c2",2.6,0.0454
"LGE-derived GABAergic",1056,"Lhx8",0.6,0.0119
"LGE-derived GABAergic",1056,"Nkx2-1",0.5,0.008
"LGE-derived GABAergic",1056,"Cntnap5a",16.9,0.3397
"LGE-derived GABAergic",1056,"Adarb2",81.2,2.7479
"LGE-derived GABAergic",1056,"Nr2f2",8,0.144
"LGE-derived GABAergic",1056,"Meis2",96.4,3.7127
"LGE-derived GABAergic",1056,"Tshz1",47.2,1.0599
"LGE-derived GABAergic",1056,"Etv1",24.2,0.5121
